po_id,supplier_id,sku,order_date,promised_date,received_date,qty_ordered,qty_received,unit_cost,freight_cost
PO-5288,17,SKU-1014,2025-07-18,2025-08-07,2025-08-21,200,163,8.64,46.19
PO-5289,12,SKU-1037,2025-07-19,2025-08-02,2025-07-30,1000,1000,20.7,286.29
PO-5290,10,SKU-1046,2025-07-19,2025-08-02,2025-08-01,500,500,28.23,112.93
PO-5291,22,SKU-1002,2025-07-15,2025-08-09,2025-08-08,1000,1000,7.93,204.3
PO-5292,5,SKU-1037,2025-07-15,2025-07-25,2025-07-22,200,200,20.7,55.57
PO-5293,4,SKU-1002,2025-07-14,2025-07-28,2025-07-28,500,500,7.93,145.99
PO-5294,2,SKU-1042,2025-07-14,2025-07-24,2025-07-23,200,200,33.81,31.23
PO-5295,6,SKU-1003,2025-07-16,2025-08-02,2025-07-30,250,250,2.8,59.3
PO-5296,1,SKU-1004,2025-07-15,2025-08-03,2025-08-05,500,469,25.45,62.4
PO-5297,6,SKU-1060,2025-07-25,2025-08-11,2025-08-22,100,100,7.84,29.48
PO-5298,10,SKU-1027,2025-07-25,2025-08-08,2025-08-08,100,100,41.12,16.69
PO-5299,23,SKU-1038,2025-07-22,2025-07-30,2025-07-30,1000,1000,33.87,287.83
PO-5300,8,SKU-1006,2025-07-22,2025-08-07,2025-08-07,200,181,27.6,33.76
PO-5301,12,SKU-1008,2025-07-23,2025-08-06,2025-08-06,250,250,5.98,17.41
PO-5302,4,SKU-1028,2025-07-27,2025-08-10,2025-08-08,500,500,38.26,67.54
PO-5303,14,SKU-1003,2025-07-30,2025-08-19,2025-08-18,200,200,2.8,17.79
PO-5304,7,SKU-1018,2025-08-01,2025-08-21,2025-08-19,750,750,3.74,225.67
PO-5305,8,SKU-1011,2025-07-30,2025-08-15,2025-08-15,500,500,36.45,112.11
PO-5306,10,SKU-1031,2025-08-01,2025-08-15,2025-08-15,1000,1000,15.71,261.94
PO-5307,9,SKU-1039,2025-07-31,2025-08-17,2025-08-16,750,750,30.77,174.35
PO-5308,7,SKU-1009,2025-08-03,2025-08-23,2025-08-20,750,750,31.33,203.09
PO-5309,25,SKU-1025,2025-07-28,2025-08-20,2025-08-18,250,204,20.73,18.95
PO-5310,6,SKU-1050,2025-08-03,2025-08-20,2025-08-18,1000,1000,22.85,70.42
PO-5311,12,SKU-1052,2025-08-01,2025-08-15,2025-08-13,100,100,19.65,7.64
PO-5312,5,SKU-1053,2025-08-09,2025-08-19,2025-08-18,500,500,26.19,94.67
PO-5313,21,SKU-1057,2025-08-09,2025-08-29,2025-09-03,250,250,18.68,39.99
PO-5314,22,SKU-1045,2025-08-06,2025-08-31,2025-09-01,1000,1000,18.3,188.77
PO-5315,13,SKU-1023,2025-08-09,2025-08-24,2025-08-23,100,100,5.91,23.27
PO-5316,8,SKU-1046,2025-08-09,2025-08-25,2025-08-22,750,750,28.23,82.07
PO-5317,10,SKU-1010,2025-08-07,2025-08-21,2025-08-20,1000,1000,7.99,103.9
PO-5318,8,SKU-1037,2025-08-07,2025-08-23,2025-08-22,500,500,20.7,111.29
PO-5319,1,SKU-1008,2025-08-10,2025-08-29,2025-08-28,100,100,5.98,22.55
PO-5320,23,SKU-1004,2025-08-05,2025-08-13,2025-08-10,250,250,25.45,81.09
PO-5321,24,SKU-1059,2025-08-04,2025-08-20,2025-08-20,1000,1000,40.68,116.24
PO-5322,3,SKU-1023,2025-08-14,2025-09-01,2025-08-31,1000,1000,5.91,256.52
PO-5323,21,SKU-1041,2025-08-14,2025-09-03,2025-09-01,500,500,7.56,151.98
PO-5324,25,SKU-1009,2025-08-14,2025-09-06,2025-09-03,1000,1000,31.33,217.74
PO-5325,6,SKU-1035,2025-08-12,2025-08-29,2025-09-06,750,750,26.66,254.31
PO-5326,6,SKU-1023,2025-08-13,2025-08-30,2025-08-28,1000,1000,5.91,90.97
PO-5327,23,SKU-1032,2025-08-16,2025-08-24,2025-08-22,100,100,11.77,18.35
PO-5328,21,SKU-1023,2025-08-16,2025-09-05,2025-09-03,750,750,5.91,112.55
PO-5329,4,SKU-1036,2025-08-14,2025-08-28,2025-08-26,1000,1000,33.83,229.6
PO-5330,15,SKU-1054,2025-08-17,2025-09-06,2025-09-04,100,100,21.93,5.37
PO-5331,16,SKU-1014,2025-08-11,2025-08-21,2025-08-20,250,250,8.64,65.12
PO-5332,15,SKU-1008,2025-08-12,2025-09-01,2025-09-01,750,750,5.98,75.32
PO-5333,3,SKU-1003,2025-08-11,2025-08-29,2025-08-29,100,100,2.8,14.95
PO-5334,24,SKU-1037,2025-08-13,2025-08-29,2025-08-29,500,500,20.7,142.58
PO-5335,11,SKU-1001,2025-08-13,2025-08-30,2025-09-09,1000,1000,26.05,269.19
PO-5336,21,SKU-1016,2025-08-18,2025-09-07,2025-09-04,100,100,39.97,30.19
PO-5337,10,SKU-1024,2025-08-19,2025-09-02,2025-09-19,1000,1000,13.92,285.39
PO-5338,10,SKU-1048,2025-08-22,2025-09-05,2025-09-03,1000,1000,26.03,146.05
PO-5339,12,SKU-1009,2025-08-22,2025-09-05,2025-09-04,200,193,31.33,44.01
PO-5340,21,SKU-1059,2025-08-24,2025-09-13,2025-09-26,100,100,40.68,19.83
PO-5341,16,SKU-1047,2025-08-19,2025-08-29,2025-09-01,200,200,22.9,19.82
PO-5342,15,SKU-1041,2025-08-21,2025-09-10,2025-09-07,500,500,7.56,57.74
PO-5343,12,SKU-1001,2025-08-18,2025-09-01,2025-09-01,200,200,26.05,49.7
PO-5344,17,SKU-1046,2025-08-21,2025-09-10,2025-09-13,500,377,28.23,148.91
PO-5345,24,SKU-1011,2025-08-21,2025-09-06,2025-09-06,750,750,36.45,165.19
PO-5346,3,SKU-1035,2025-08-27,2025-09-14,2025-09-14,750,750,26.66,232.22
PO-5347,13,SKU-1039,2025-08-29,2025-09-13,2025-09-10,1000,1000,30.77,232.74
PO-5348,10,SKU-1037,2025-08-29,2025-09-12,2025-09-11,500,500,20.7,45.53
PO-5349,11,SKU-1034,2025-08-30,2025-09-16,2025-09-14,200,200,10.46,36.84
PO-5350,3,SKU-1010,2025-08-30,2025-09-17,2025-09-17,250,250,7.99,54.86
PO-5351,13,SKU-1017,2025-08-25,2025-09-09,2025-09-07,750,750,17.44,87.28
PO-5352,9,SKU-1042,2025-08-25,2025-09-11,2025-09-10,1000,1000,33.81,216.21
PO-5353,8,SKU-1035,2025-08-29,2025-09-14,2025-09-11,500,500,26.66,145.05
PO-5354,5,SKU-1056,2025-08-29,2025-09-08,2025-09-05,1000,1000,6.16,266.48
PO-5355,4,SKU-1030,2025-08-31,2025-09-14,2025-09-12,200,200,34.59,56.5
PO-5356,5,SKU-1024,2025-08-31,2025-09-10,2025-09-10,200,197,13.92,10.91
PO-5357,20,SKU-1014,2025-08-28,2025-09-04,2025-09-02,500,500,8.64,38.16
PO-5358,7,SKU-1037,2025-08-25,2025-09-14,2025-09-26,200,200,20.7,60.49
PO-5359,9,SKU-1008,2025-09-02,2025-09-19,2025-09-18,1000,1000,5.98,294.96
PO-5360,12,SKU-1007,2025-09-03,2025-09-17,2025-09-14,100,100,2.12,25.26
PO-5361,9,SKU-1023,2025-09-02,2025-09-19,2025-09-16,750,750,5.91,215.52
PO-5362,16,SKU-1008,2025-09-01,2025-09-11,2025-09-09,200,200,5.98,27.4
PO-5363,22,SKU-1043,2025-09-04,2025-09-29,2025-10-08,750,750,34.91,208.82
PO-5364,9,SKU-1029,2025-09-01,2025-09-18,2025-09-16,500,500,32.99,155.96
PO-5365,3,SKU-1012,2025-09-12,2025-09-30,2025-09-30,500,500,40.28,128.94
PO-5366,15,SKU-1026,2025-09-09,2025-09-29,2025-10-16,100,100,15.96,20.85
PO-5367,10,SKU-1058,2025-09-09,2025-09-23,2025-09-20,200,200,39.53,31.66
PO-5368,15,SKU-1022,2025-09-12,2025-10-02,2025-10-01,250,212,40.18,48.76
PO-5369,8,SKU-1002,2025-09-09,2025-09-25,2025-09-22,1000,1000,7.93,251.29
PO-5370,9,SKU-1025,2025-09-10,2025-09-27,2025-09-26,250,250,20.73,52.11
PO-5371,23,SKU-1003,2025-09-19,2025-09-27,2025-09-24,200,200,2.8,47.99
PO-5372,21,SKU-1007,2025-09-17,2025-10-07,2025-10-05,200,200,2.12,28.24
PO-5373,25,SKU-1022,2025-09-20,2025-10-13,2025-10-11,250,250,40.18,66.18
PO-5374,11,SKU-1004,2025-09-20,2025-10-07,2025-10-06,500,500,25.45,159.13
PO-5375,8,SKU-1023,2025-09-16,2025-10-02,2025-09-29,1000,1000,5.91,183.66
PO-5376,19,SKU-1050,2025-09-17,2025-10-10,2025-10-13,200,200,22.85,28.51
PO-5377,24,SKU-1037,2025-09-19,2025-10-05,2025-10-04,100,100,20.7,22.5
PO-5378,3,SKU-1038,2025-09-16,2025-10-04,2025-10-03,500,500,33.87,141.17
PO-5379,24,SKU-1056,2025-09-22,2025-10-08,2025-10-07,200,200,6.16,25.45
PO-5380,1,SKU-1049,2025-09-23,2025-10-12,2025-10-10,1000,987,26.46,169.87
PO-5381,7,SKU-1058,2025-09-26,2025-10-16,2025-10-13,200,200,39.53,13.41
PO-5382,5,SKU-1039,2025-09-22,2025-10-02,2025-10-01,1000,1000,30.77,106.45
PO-5383,18,SKU-1042,2025-09-22,2025-10-03,2025-09-30,200,200,33.81,62.06
PO-5384,1,SKU-1042,2025-09-25,2025-10-14,2025-10-13,200,173,33.81,57.78
PO-5385,3,SKU-1041,2025-09-26,2025-10-14,2025-10-14,750,750,7.56,249.05
PO-5386,1,SKU-1002,2025-09-24,2025-10-13,2025-10-12,100,100,7.93,26.3
PO-5387,11,SKU-1011,2025-09-22,2025-10-09,2025-10-07,200,200,36.45,60.44
PO-5388,12,SKU-1053,2025-09-24,2025-10-08,2025-10-06,1000,1000,26.19,222.49
PO-5389,8,SKU-1048,2025-09-26,2025-10-12,2025-10-12,100,100,26.03,14.28
PO-5390,25,SKU-1036,2025-09-27,2025-10-20,2025-10-19,250,250,33.83,83.07
PO-5391,9,SKU-1001,2025-10-03,2025-10-20,2025-10-19,200,200,26.05,23.69
PO-5392,25,SKU-1006,2025-09-29,2025-10-22,2025-10-19,100,100,27.6,11.15
PO-5393,25,SKU-1012,2025-10-01,2025-10-24,2025-11-05,1000,1000,40.28,103.23
PO-5394,24,SKU-1055,2025-10-05,2025-10-21,2025-10-18,250,250,38.85,30.69
PO-5395,16,SKU-1014,2025-10-04,2025-10-14,2025-10-14,500,500,8.64,143.47
PO-5396,1,SKU-1007,2025-10-04,2025-10-23,2025-10-20,1000,1000,2.12,252.26
PO-5397,12,SKU-1004,2025-09-30,2025-10-14,2025-10-14,500,500,25.45,119.07
PO-5398,8,SKU-1002,2025-10-01,2025-10-17,2025-10-17,200,200,7.93,22.19
PO-5399,21,SKU-1018,2025-10-08,2025-10-28,2025-11-13,200,200,3.74,57.45
PO-5400,16,SKU-1056,2025-10-12,2025-10-22,2025-10-20,250,250,6.16,37.36
PO-5401,16,SKU-1056,2025-10-07,2025-10-17,2025-10-17,200,200,6.16,62.97
PO-5402,7,SKU-1055,2025-10-11,2025-10-31,2025-10-31,200,200,38.85,18.39
PO-5403,10,SKU-1044,2025-10-06,2025-10-20,2025-10-18,100,100,13.15,14.08
PO-5404,17,SKU-1048,2025-10-08,2025-10-28,2025-10-26,500,500,26.03,38.53
PO-5405,11,SKU-1042,2025-10-11,2025-10-28,2025-10-27,100,100,33.81,11.04
PO-5406,21,SKU-1045,2025-10-06,2025-10-26,2025-10-24,750,750,18.3,61.1
PO-5407,1,SKU-1004,2025-10-08,2025-10-27,2025-10-24,100,100,25.45,34.12
PO-5408,17,SKU-1028,2025-10-06,2025-10-26,2025-10-24,1000,1000,38.26,200.22
PO-5409,4,SKU-1034,2025-10-08,2025-10-22,2025-10-19,250,250,10.46,76.49
PO-5410,8,SKU-1047,2025-10-06,2025-10-22,2025-10-20,100,100,22.9,7.07
PO-5411,7,SKU-1033,2025-10-13,2025-11-02,2025-11-01,250,205,40.16,15.61
PO-5412,15,SKU-1035,2025-10-15,2025-11-04,2025-11-04,1000,1000,26.66,169.78
PO-5413,11,SKU-1035,2025-10-16,2025-11-02,2025-10-31,500,500,26.66,157.25
PO-5414,5,SKU-1058,2025-10-18,2025-10-28,2025-10-27,1000,1000,39.53,163.09
PO-5415,8,SKU-1053,2025-10-14,2025-10-30,2025-10-27,750,750,26.19,241.92
PO-5416,2,SKU-1026,2025-10-18,2025-10-28,2025-10-28,750,750,15.96,139.99
PO-5417,16,SKU-1048,2025-10-25,2025-11-04,2025-11-03,750,750,26.03,122.98
PO-5418,21,SKU-1051,2025-10-25,2025-11-14,2025-11-26,1000,750,11.34,207.88
PO-5419,20,SKU-1043,2025-10-25,2025-11-01,2025-10-29,1000,1000,34.91,249.27
PO-5420,20,SKU-1049,2025-10-22,2025-10-29,2025-10-29,1000,1000,26.46,226.85
PO-5421,19,SKU-1015,2025-10-21,2025-11-13,2025-11-12,750,750,23.01,75.55
PO-5422,12,SKU-1016,2025-10-25,2025-11-08,2025-11-08,200,200,39.97,59.65
PO-5423,11,SKU-1025,2025-10-29,2025-11-15,2025-11-15,100,100,20.73,26.08
PO-5424,13,SKU-1007,2025-10-29,2025-11-13,2025-11-12,500,500,2.12,66.25
PO-5425,10,SKU-1029,2025-11-01,2025-11-15,2025-11-15,1000,1000,32.99,277.64
PO-5426,5,SKU-1001,2025-11-01,2025-11-11,2025-11-11,750,750,26.05,177.62
PO-5427,17,SKU-1022,2025-11-02,2025-11-22,2025-11-19,750,750,40.18,165.87
PO-5428,2,SKU-1038,2025-10-28,2025-11-07,2025-11-06,250,250,33.87,32.41
PO-5429,3,SKU-1034,2025-11-08,2025-11-26,2025-11-23,200,200,10.46,67.5
PO-5430,10,SKU-1040,2025-11-09,2025-11-23,2025-11-20,1000,1000,25.31,160.15
PO-5431,23,SKU-1049,2025-11-05,2025-11-13,2025-11-27,1000,1000,26.46,127.04
PO-5432,8,SKU-1025,2025-11-09,2025-11-25,2025-11-23,1000,1000,20.73,69.01
PO-5433,7,SKU-1022,2025-11-09,2025-11-29,2025-11-29,500,500,40.18,87.21
PO-5434,21,SKU-1049,2025-11-09,2025-11-29,2025-11-29,500,500,26.46,90.42
PO-5435,16,SKU-1012,2025-11-03,2025-11-13,2025-11-13,200,200,40.28,59.48
PO-5436,22,SKU-1015,2025-11-08,2025-12-03,2025-11-30,1000,1000,23.01,149.05
PO-5437,13,SKU-1050,2025-11-06,2025-11-21,2025-11-19,100,100,22.85,5.46
PO-5438,16,SKU-1006,2025-11-09,2025-11-19,2025-11-19,100,100,27.6,11.0
PO-5439,11,SKU-1031,2025-11-09,2025-11-26,2025-11-26,750,750,15.71,129.06
PO-5440,2,SKU-1056,2025-11-08,2025-11-18,2025-11-17,200,200,6.16,10.36
PO-5441,18,SKU-1018,2025-11-07,2025-11-18,2025-11-17,500,500,3.74,153.83
PO-5442,13,SKU-1033,2025-11-13,2025-11-28,2025-11-27,250,250,40.16,41.02
PO-5443,14,SKU-1055,2025-11-14,2025-12-04,2025-12-02,200,165,38.85,49.14
PO-5444,15,SKU-1043,2025-11-13,2025-12-03,2025-12-01,250,250,34.91,38.13
PO-5445,15,SKU-1059,2025-11-15,2025-12-05,2025-12-02,1000,1000,40.68,209.92
PO-5446,14,SKU-1037,2025-11-16,2025-12-06,2025-12-05,200,200,20.7,27.49
PO-5447,23,SKU-1014,2025-11-16,2025-11-24,2025-12-09,500,500,8.64,91.73
PO-5448,7,SKU-1004,2025-11-11,2025-12-01,2025-11-28,100,100,25.45,31.4
PO-5449,20,SKU-1032,2025-11-11,2025-11-18,2025-11-16,500,500,11.77,133.06
PO-5450,24,SKU-1019,2025-11-16,2025-12-02,2025-11-30,200,200,5.69,52.92
PO-5451,17,SKU-1007,2025-11-13,2025-12-03,2025-11-30,100,100,2.12,24.77
PO-5452,9,SKU-1046,2025-11-13,2025-11-30,2025-11-28,100,100,28.23,9.0
PO-5453,6,SKU-1054,2025-11-13,2025-11-30,2025-11-28,750,750,21.93,196.56
PO-5454,24,SKU-1010,2025-11-12,2025-11-28,2025-12-09,750,750,7.99,71.68
PO-5455,22,SKU-1015,2025-11-13,2025-12-08,2025-12-19,500,500,23.01,68.66
PO-5456,23,SKU-1006,2025-11-18,2025-11-26,2025-11-24,500,500,27.6,85.21
PO-5457,2,SKU-1054,2025-11-19,2025-11-29,2025-11-27,1000,1000,21.93,207.9
PO-5458,10,SKU-1032,2025-11-19,2025-12-03,2025-12-03,100,100,11.77,13.4
PO-5459,10,SKU-1039,2025-11-21,2025-12-05,2025-12-02,200,200,30.77,26.27
PO-5460,25,SKU-1055,2025-11-18,2025-12-11,2025-12-10,100,100,38.85,8.02
PO-5461,1,SKU-1023,2025-11-18,2025-12-07,2025-12-17,100,100,5.91,15.51
PO-5462,16,SKU-1016,2025-11-19,2025-11-29,2025-11-27,100,100,39.97,13.95
PO-5463,3,SKU-1047,2025-11-21,2025-12-09,2025-12-06,200,200,22.9,37.68
PO-5464,2,SKU-1003,2025-11-21,2025-12-01,2025-12-01,1000,1000,2.8,174.6
PO-5465,12,SKU-1005,2025-11-19,2025-12-03,2025-12-01,250,250,39.74,83.12
PO-5466,11,SKU-1001,2025-11-23,2025-12-10,2025-12-10,250,250,26.05,19.55
PO-5467,8,SKU-1008,2025-11-18,2025-12-04,2025-12-01,250,250,5.98,24.8
PO-5468,18,SKU-1003,2025-11-21,2025-12-02,2025-11-30,250,250,2.8,27.76
PO-5469,5,SKU-1059,2025-11-18,2025-11-28,2025-11-26,100,98,40.68,19.65
PO-5470,23,SKU-1048,2025-11-25,2025-12-03,2025-12-01,200,200,26.03,69.89
PO-5471,14,SKU-1026,2025-11-28,2025-12-18,2025-12-17,750,750,15.96,56.47
PO-5472,19,SKU-1014,2025-11-25,2025-12-18,2025-12-15,200,178,8.64,68.98
PO-5473,2,SKU-1014,2025-11-28,2025-12-08,2025-12-06,250,250,8.64,73.29
PO-5474,15,SKU-1038,2025-11-25,2025-12-15,2025-12-15,500,399,33.87,61.73
PO-5475,24,SKU-1033,2025-11-29,2025-12-15,2025-12-14,200,200,40.16,65.49
PO-5476,22,SKU-1022,2025-11-29,2025-12-24,2025-12-25,500,432,40.18,141.89
PO-5477,3,SKU-1049,2025-11-28,2025-12-16,2025-12-14,1000,906,26.46,285.99
PO-5478,3,SKU-1042,2025-11-29,2025-12-17,2025-12-23,500,500,33.81,136.83
PO-5479,9,SKU-1054,2025-12-06,2025-12-23,2025-12-25,1000,1000,21.93,286.55
PO-5480,22,SKU-1038,2025-12-02,2025-12-27,2025-12-26,1000,1000,33.87,209.5
PO-5481,21,SKU-1008,2025-12-01,2025-12-21,2025-12-30,200,200,5.98,45.26
PO-5482,18,SKU-1016,2025-12-04,2025-12-15,2025-12-12,500,500,39.97,84.22
PO-5483,21,SKU-1044,2025-12-07,2025-12-27,2026-01-09,500,500,13.15,59.25
PO-5484,22,SKU-1054,2025-12-07,2026-01-01,2026-01-01,250,218,21.93,57.79
PO-5485,4,SKU-1057,2025-12-07,2025-12-21,2025-12-21,750,750,18.68,70.31
PO-5486,18,SKU-1014,2025-12-01,2025-12-12,2025-12-12,750,664,8.64,57.29
PO-5487,6,SKU-1045,2025-12-11,2025-12-28,2025-12-26,100,100,18.3,23.81
PO-5488,13,SKU-1053,2025-12-09,2025-12-24,2025-12-23,200,200,26.19,23.45
PO-5489,20,SKU-1057,2025-12-11,2025-12-18,2025-12-17,750,750,18.68,173.98
PO-5490,6,SKU-1026,2025-12-12,2025-12-29,2025-12-27,100,100,15.96,18.64
PO-5491,22,SKU-1017,2025-12-13,2026-01-07,2026-01-04,750,750,17.44,206.96
PO-5492,22,SKU-1025,2025-12-09,2026-01-03,2026-01-12,1000,1000,20.73,204.28
PO-5493,11,SKU-1029,2025-12-10,2025-12-27,2026-01-08,250,250,32.99,59.89
PO-5494,13,SKU-1034,2025-12-14,2025-12-29,2025-12-29,500,500,10.46,171.43
PO-5495,2,SKU-1057,2025-12-14,2025-12-24,2025-12-21,750,750,18.68,107.51
PO-5496,17,SKU-1058,2025-12-09,2025-12-29,2025-12-29,100,100,39.53,19.47
PO-5497,9,SKU-1010,2025-12-16,2026-01-02,2025-12-30,500,500,7.99,113.44
PO-5498,9,SKU-1041,2025-12-21,2026-01-07,2026-01-04,500,500,7.56,86.13
PO-5499,3,SKU-1052,2025-12-20,2026-01-07,2026-01-07,1000,1000,19.65,320.85
PO-5500,11,SKU-1011,2025-12-21,2026-01-07,2026-01-04,750,750,36.45,68.97
PO-5501,17,SKU-1052,2025-12-15,2026-01-04,2026-01-02,1000,1000,19.65,66.05
PO-5502,10,SKU-1025,2025-12-21,2026-01-04,2026-01-10,250,250,20.73,83.28
PO-5503,20,SKU-1021,2025-12-25,2026-01-01,2025-12-31,250,250,2.24,41.41
PO-5504,16,SKU-1018,2025-12-22,2026-01-01,2026-01-01,750,750,3.74,180.85
PO-5505,25,SKU-1058,2025-12-24,2026-01-16,2026-01-15,750,750,39.53,163.22
PO-5506,22,SKU-1027,2025-12-28,2026-01-22,2026-01-22,250,250,41.12,42.17
PO-5507,10,SKU-1055,2025-12-27,2026-01-10,2026-01-10,100,77,38.85,21.99
PO-5508,12,SKU-1039,2025-12-24,2026-01-07,2026-01-05,100,100,30.77,7.89
PO-5509,20,SKU-1044,2025-12-28,2026-01-04,2026-01-01,250,250,13.15,25.73
PO-5510,24,SKU-1041,2025-12-27,2026-01-12,2026-01-12,500,500,7.56,143.46
PO-5511,11,SKU-1026,2025-12-25,2026-01-11,2026-01-10,250,250,15.96,65.91
PO-5512,18,SKU-1048,2026-01-02,2026-01-13,2026-01-12,200,200,26.03,50.91
PO-5513,14,SKU-1005,2026-01-02,2026-01-22,2026-01-20,750,750,39.74,85.64
PO-5514,24,SKU-1018,2026-01-04,2026-01-20,2026-01-18,200,200,3.74,60.98
PO-5515,8,SKU-1033,2025-12-29,2026-01-14,2026-01-11,1000,1000,40.16,329.08
PO-5516,13,SKU-1057,2025-12-31,2026-01-15,2026-01-15,750,750,18.68,197.7
PO-5517,25,SKU-1039,2026-01-02,2026-01-25,2026-01-24,750,750,30.77,87.87
PO-5518,4,SKU-1024,2026-01-03,2026-01-17,2026-01-14,250,216,13.92,17.91
PO-5519,11,SKU-1014,2025-12-29,2026-01-15,2026-01-13,500,500,8.64,33.87
PO-5520,19,SKU-1036,2026-01-09,2026-02-01,2026-01-29,750,750,33.83,62.37
PO-5521,8,SKU-1019,2026-01-10,2026-01-26,2026-02-06,750,750,5.69,86.52
PO-5522,7,SKU-1019,2026-01-11,2026-01-31,2026-02-18,1000,800,5.69,101.91
PO-5523,17,SKU-1018,2026-01-08,2026-01-28,2026-01-27,1000,971,3.74,170.04
PO-5524,17,SKU-1038,2026-01-08,2026-01-28,2026-01-25,250,250,33.87,37.21
PO-5525,9,SKU-1005,2026-01-10,2026-01-27,2026-01-25,500,500,39.74,127.4
PO-5526,23,SKU-1040,2026-01-08,2026-01-16,2026-01-14,100,100,25.31,13.48
PO-5527,7,SKU-1005,2026-01-10,2026-01-30,2026-01-31,500,500,39.74,143.54
PO-5528,24,SKU-1013,2026-01-11,2026-01-27,2026-01-26,1000,1000,10.66,56.87
PO-5529,24,SKU-1047,2026-01-09,2026-01-25,2026-01-22,250,250,22.9,13.48
PO-5530,21,SKU-1047,2026-01-10,2026-01-30,2026-01-29,750,750,22.9,74.32
PO-5531,21,SKU-1021,2026-01-07,2026-01-27,2026-01-24,1000,1000,2.24,156.58
PO-5532,1,SKU-1052,2026-01-10,2026-01-29,2026-01-26,250,250,19.65,24.04
PO-5533,16,SKU-1006,2026-01-14,2026-01-24,2026-01-24,200,200,27.6,41.7
PO-5534,9,SKU-1033,2026-01-15,2026-02-01,2026-01-31,1000,767,40.16,107.93
PO-5535,9,SKU-1053,2026-01-16,2026-02-02,2026-02-02,200,200,26.19,60.48
PO-5536,5,SKU-1009,2026-01-12,2026-01-22,2026-01-22,100,97,31.33,18.91
PO-5537,2,SKU-1014,2026-01-16,2026-01-26,2026-01-23,250,250,8.64,54.47
PO-5538,15,SKU-1032,2026-01-18,2026-02-07,2026-02-05,100,100,11.77,32.17
PO-5539,13,SKU-1057,2026-01-12,2026-01-27,2026-01-25,200,200,18.68,44.32
PO-5540,21,SKU-1044,2026-01-17,2026-02-06,2026-02-09,750,750,13.15,49.6
PO-5541,16,SKU-1011,2026-01-15,2026-01-25,2026-01-23,1000,1000,36.45,257.61
PO-5542,16,SKU-1039,2026-01-13,2026-01-23,2026-01-23,750,750,30.77,194.94
PO-5543,8,SKU-1001,2026-01-15,2026-01-31,2026-01-29,1000,1000,26.05,244.33
PO-5544,8,SKU-1007,2026-01-13,2026-01-29,2026-01-26,500,469,2.12,166.18
PO-5545,8,SKU-1050,2026-01-17,2026-02-02,2026-02-02,250,220,22.85,13.87
PO-5546,25,SKU-1057,2026-01-24,2026-02-16,2026-02-14,750,750,18.68,152.73
PO-5547,4,SKU-1033,2026-01-25,2026-02-08,2026-02-21,100,99,40.16,21.68
PO-5548,3,SKU-1033,2026-01-23,2026-02-10,2026-02-07,1000,860,40.16,234.53
PO-5549,15,SKU-1026,2026-01-24,2026-02-13,2026-02-11,100,100,15.96,20.21
PO-5550,15,SKU-1014,2026-01-19,2026-02-08,2026-02-06,1000,1000,8.64,83.12
PO-5551,3,SKU-1035,2026-01-23,2026-02-10,2026-02-07,100,100,26.66,30.49
PO-5552,4,SKU-1006,2026-01-21,2026-02-04,2026-02-03,250,250,27.6,57.98
PO-5553,25,SKU-1013,2026-01-26,2026-02-18,2026-02-15,100,100,10.66,28.02
PO-5554,7,SKU-1034,2026-01-29,2026-02-18,2026-02-18,750,750,10.46,84.94
PO-5555,25,SKU-1047,2026-02-01,2026-02-24,2026-02-21,100,100,22.9,5.92
PO-5556,22,SKU-1009,2026-02-01,2026-02-26,2026-02-28,200,200,31.33,27.6
PO-5557,9,SKU-1046,2026-01-27,2026-02-13,2026-02-12,250,225,28.23,19.6
PO-5558,15,SKU-1011,2026-01-31,2026-02-20,2026-02-20,750,750,36.45,261.21
PO-5559,25,SKU-1021,2026-01-28,2026-02-20,2026-02-17,500,500,2.24,76.11
PO-5560,18,SKU-1057,2026-01-28,2026-02-08,2026-02-07,100,100,18.68,28.25
PO-5561,11,SKU-1051,2026-01-26,2026-02-12,2026-02-09,100,100,11.34,14.41
PO-5562,21,SKU-1022,2026-01-28,2026-02-17,2026-02-14,500,500,40.18,104.64
PO-5563,21,SKU-1043,2026-01-30,2026-02-19,2026-02-19,750,750,34.91,255.17
PO-5564,21,SKU-1014,2026-02-03,2026-02-23,2026-02-20,1000,1000,8.64,264.74
PO-5565,6,SKU-1040,2026-02-05,2026-02-22,2026-02-20,1000,1000,25.31,135.29
PO-5566,13,SKU-1016,2026-02-04,2026-02-19,2026-02-16,100,100,39.97,11.28
PO-5567,9,SKU-1040,2026-02-07,2026-02-24,2026-02-22,1000,982,25.31,258.47
PO-5568,10,SKU-1005,2026-02-02,2026-02-16,2026-02-13,100,100,39.74,9.27
PO-5569,4,SKU-1047,2026-02-05,2026-02-19,2026-02-18,500,500,22.9,40.01
PO-5570,10,SKU-1026,2026-02-05,2026-02-19,2026-02-17,500,500,15.96,156.71
PO-5571,11,SKU-1021,2026-02-15,2026-03-04,2026-03-04,200,200,2.24,22.53
PO-5572,12,SKU-1043,2026-02-11,2026-02-25,2026-02-22,200,194,34.91,19.48
PO-5573,22,SKU-1043,2026-02-13,2026-03-10,2026-03-09,200,169,34.91,15.83
PO-5574,2,SKU-1025,2026-02-11,2026-02-21,2026-02-19,100,99,20.73,13.05
PO-5575,5,SKU-1060,2026-02-11,2026-02-21,2026-02-19,200,200,7.84,54.23
